headline,posted_time,theme
Ramūnas Grumbinas. Amerikietės viltis – lietuvių kalba,2024-02-01 12:48:00,Nuomonės
Rusijos karas prieš Ukrainą. Michelis: ES susitarė dėl 50 mlrd. eurų pagalbos paketo Ukrainai,2024-02-01 06:19:00,Pasaulyje
Po VTEK sprendimo – Nausėdos žinia: „Turėtume nustoti eskaluoti šitą temą“,2024-02-01 10:58:00,Lietuvoje
"Po įspūdingos „Žalgirio“ pergalės – liaupsės Biručiui, Giedraičiui ir komandiniam žaidimui",2024-02-01 11:14:00,Sportas
Kauno klinikų profesorė ginasi dėl jai mestų kaltinimų mobingu: „Tapau neparanki“,2024-02-01 07:17:00,Sveikata
„Anadolu Efes“ po triuškinamo pralaimėjimo „Žalgiriui“ atleido trenerį,2024-02-01 11:28:00,Sportas
"Nekompetencija ar tik formalus pareigūnų požiūris? Vyro smūgiai pražudė žmoną, palikęs areštinę jis nusižudė",2024-02-01 05:30:00,Lietuvoje
"Pozityvumu trykštanti Joana Bartaškienė: į darbą – tik gerai išsiverkus virtuvėje, kad niekam neužkraučiau savo bėdų",2024-02-01 10:00:00,Lengvai su Ignu
Rusų mokslininkas: „Artėjame prie stalinizmo laikams būdingų bauginimų“,2024-02-01 05:30:00,Pasaulyje
"Neblaivus vairavęs teisėjas Ambrulevičius pripažįsta vartojęs alkoholį, apgailestauja",2024-02-01 12:44:00,Lietuvoje
"Ligoninėse – sužeisti mažamečiai: vienas berniukas iškrito iš 4 aukšto Jonavoje, namuose jis buvo vienas",2024-02-01 07:06:00,Lietuvoje
"Su malonumu kirs visa šeima: 9 taisyklės, kad varškėčiai būtų purūs kaip pas močiutę",2024-02-01 12:06:00,Gyvenimas
Nausėda yra prieš vengrų siūlymą dėl paramos Ukrainai: balsuoti kaskart nėra efektyvu,2024-02-01 11:16:00,Pasaulyje
"Baradinskas apie studijų Holivude užkulisius: pirmą dieną pasakė, kad vienas iš mūsų laimės „Oskarą“",2024-02-01 05:30:00,Veidai
Kipre išardyta fiktyvias vedybas organizavusi nusikalstama grupuotė – santuoka su lietuve atverdavo kelią į ES,2024-02-01 11:34:00,Aktualijos
Ramūnas Zilnys kalbina. EUROVIZIJA.LT finalininkai „Pluie de Comètes“ – apie svajones ir meilę „Eurovizijai“,2024-02-01 10:18:00,Muzika
"EUROVIZIJA.LT finalininkai „Pluie de Comètes“ – apie dueto kilmę, mėgstamiausius pasirodymus ir jaudulį scenoje",2024-02-01 12:00:00,Ramūnas Zilnys kalbina
Nausėda apie VTEK sprendimą: dar kartą kartoju – aš nesijaučiu padaręs kažką blogo,2024-02-01 11:00:00,Spaudos konferencijos
Šakalienė apie „pražiūrėtą“ Lietuvoje dirbantį milicijos majorą: visus patikrinti – kaip adatos šieno kupetoj ieškoti,2024-02-01 09:40:00,LRT.lt
LRT RADIJO žinios. EVT tariamasi dėl 50 milijardų eurų paramos Ukrainai,2024-02-01 12:00:00,Žinios
Gentvilas pristatė valstybinės žemės perdavimą savivaldybėms: gyventojai kreipsis į jų administracijas,2024-02-01 11:30:00,Spaudos konferencijos
Senis,2024-02-01 11:28:00,Senis (2018)
Žalgiriečiai pasiekė naują sezono rezultatyvumo rekordą pirmojoje rungtynių pusėje,2024-01-31 21:02:00,Eurolyga per LRT
"Už Vilniaus. Iš protesto į Kupiškį sugrįžęs 20-metis Linas: daug žmonių galvoja, kad ūkininkas smirda tvartu, nors taip nėra",2024-01-31 18:12:00,Už Vilniaus
Pažadas 1/100 s.,2024-01-31 16:59:00,Pažadas
Senis 1 s.,2024-01-31 15:11:00,Senis (2018)
"„Bild“: Zelenskis bandė nušalinti Zalužną, bet tam pasipriešino Syrskis ir Budanovas",2024-02-01 12:41:00,Pasaulyje
JT pabėgėlių agentūra: padėti ukrainiečiams Lietuvoje šiemet papildomai reiks 14 mln. eurų,2024-02-01 11:05:00,Lietuvoje
"Ar antras kartas nemeluos? Nepaisant Orbano prieštaravimo, ES bandys patvirtinti paramą Ukrainai",2024-02-01 10:28:00,Pasaulyje
LRT aktualijų studija. Ar reikėtų papildomai apmokestinti iš Rusijos perkamas ir jai parduodamas prekes?,2024-02-01 09:05:00,LRT aktualijų studija
Rimvydas Valatka. Pinigai gynybai ir ekonomiškas vartymasis iš gaidžio,2024-01-31 12:13:00,Nuomonės
Edwardas Lucasas. Konfiskuoti Rusijos centrinio banko atsargas būtų teisingas žingsnis,2024-01-31 11:41:00,Nuomonės
Rimas Bružas. Priešo linksmybės Vilniuje,2024-01-30 18:02:00,Nuomonės
"Šakalienė apie Lietuvoje dirbantį baltarusių milicijos majorą: nežinome, kiek dar gali būti tokių žmonių",2024-02-01 08:56:00,Lietuvoje
„Kolonistinės epochos markeris“ – Vilniuje siūloma nukelti Puškino paminklą ir siųsti jį į Grūto parką,2024-01-31 20:17:00,Lietuvoje
"Ramūs orai neužsibus: sulauksime mišrių kritulių, pūs gūsingas vėjas",2024-02-01 06:59:00,Lietuvoje
Vaiko teisių gynėjai apie teismo sprendimą dėl Vilčinskų: nustebino bei įnešė sumaišties,2024-01-31 17:05:00,Lietuvoje
"Pareiga valstybei – ir studentų reikalas? Dėl šauktinių kunkuliuoja aistros, ar visus jaunuolius tai paliestų",2024-01-31 15:07:00,Lietuvoje
"Žiniasklaida: miuzikle apsilankę Nausėda ir Bajarūnas pirko ne tik bilietus, bet ir vakarienę",2024-01-31 20:35:00,Lietuvoje
"Stepukoniui galimai iššvaisčius milijonus, lošimų bendrovės tvirtina – apriboti priklausomybę turinčių lošėjų negali",2024-01-31 05:30:00,Verslas
